source,count,mean,median,std
cattle,22,5.852738820942963,4.666129456630416,3.624957856292715
poultry,42,28.631291326429853,9.748760973033251,47.30892637372202
sheep,15,57.427072951853766,33.271046942285075,62.77710161644322
swine,32,20.3176353393858,11.993405056867662,24.865754110082452
