fasta,GH,GT,PL,CE,AA,CBM
C22,23.36448598130841,6.047278724573942,1.0995052226498077,3.8482682792743264,1.0995052226498077,1.6492578339747115
M1,4.216269841269841,5.952380952380952,0.992063492063492,0.744047619047619,2.728174603174603,0.248015873015873
S13,27.011817670230727,8.441193021947102,1.9696117051209903,3.0951041080472708,2.2509848058525606,1.6882386043894204
S16,34.526051475204014,9.83469345051266,1.2554927809165097,4.394224733207784,1.2554927809165097,0.8369951872776732
S23,37.375054324206864,9.343763581051716,1.738374619730552,5.867014341590613,1.303780964797914,1.738374619730552
S26,5.7373565660858485,5.524861878453039,0.21249468763280918,0.8499787505312367,3.6124096897577562,0.0
C1,0.0,1.943634596695821,0.9718172983479105,0.9718172983479105,0.9718172983479105,0.0
C10,2.0671834625322996,0.5167958656330749,0.0,0.5167958656330749,0.0,0.0
C11,8.164414414414415,6.475225225225225,0.28153153153153154,2.5337837837837838,1.4076576576576576,0.0
C12,1.433349259436216,0.9555661729574773,0.0,0.0,0.0,0.0
C13,14.041358182282359,5.361245851416901,0.2552974214960429,1.5317845289762573,0.7658922644881286,1.5317845289762573
C14,3.1645569620253164,7.120253164556962,0.26371308016877637,1.8459915611814346,2.109704641350211,0.0
C15,3.0004286326618086,3.4290612944706385,0.0,0.8572653236176596,2.1431633090441493,0.4286326618088298
C16,2.466525722339676,4.2283298097251585,0.3523608174770966,0.7047216349541932,1.7618040873854828,0.3523608174770966
C17,3.0120481927710845,2.581755593803787,0.0,0.8605851979345955,2.1514629948364887,0.0
C18,11.494252873563218,7.7324973876698015,0.6269592476489029,1.4629049111807733,2.0898641588296765,0.20898641588296762
C19,5.953313488955037,5.796647344508852,0.0,0.7833307222309259,3.4466551778160737,0.31333228889237036
C2,4.96219281663516,6.3799621928166355,0.0,0.7088846880907372,1.6540642722117203,0.0
C20,2.8254727233210173,5.216257335361878,0.21734405564007825,1.3040643338404696,3.0428167789610954,0.21734405564007825
C21,5.138746145940391,4.453579993148339,0.6851661527920521,2.398081534772182,2.398081534772182,0.34258307639602603
C3,3.0855539971949506,2.805049088359046,0.0,0.0,0.5610098176718092,0.0
C4,2.3166023166023164,3.088803088803089,0.2574002574002574,0.0,1.0296010296010296,0.0
C5,3.7354427598330036,5.053834322127005,0.21973192704900024,1.3183915622940012,2.6367831245880025,0.4394638540980005
C6,0.6153846153846154,8.615384615384615,0.0,0.6153846153846154,1.2307692307692308,0.6153846153846154
C7,2.86697247706422,6.307339449541285,0.191131498470948,0.764525993883792,2.293577981651376,0.191131498470948
C8,1.5729453401494298,3.1458906802988595,0.0,0.39323633503735744,0.7864726700747149,0.0
C9,1.0291595197255574,3.0874785591766725,0.0,0.34305317324185247,0.34305317324185247,0.34305317324185247
M10,2.575328354365182,5.923255215039918,0.25753283543651817,1.287664177182591,1.287664177182591,0.0
M11,2.7548209366391188,3.3057851239669422,0.0,1.285583103764922,2.2038567493112944,0.18365472910927455
M12,11.0573600552868,6.565307532826537,0.0,2.7643400138217,1.38217000691085,0.0
M13,3.165467625899281,6.043165467625899,0.0,1.7266187050359714,3.165467625899281,0.28776978417266186
M14,2.658867322520606,6.913055038553576,0.26588673225206066,1.5953203935123637,1.5953203935123637,0.0
M15,2.064220183486239,5.5045871559633035,0.0,0.9174311926605505,2.293577981651376,0.0
M2,1.0270455323519343,5.3064019171516605,0.34234851078397804,0.34234851078397804,0.8558712769599452,0.17117425539198902
M3,9.045226130653266,6.28140703517588,0.5025125628140704,3.2663316582914574,2.512562814070352,0.5025125628140704
M4,11.177540940992982,7.2783987522745,0.5198856251624642,3.1193137509747855,2.0795425006498567,0.2599428125812321
M5,3.582202111613876,8.107088989441932,0.1885369532428356,1.885369532428356,3.0165912518853695,0.0
M6,7.365684575389948,5.6325823223570195,0.8665511265164644,3.4662045060658575,2.5996533795493937,0.0
M7,1.5402387370042356,4.235656526761648,0.0,0.0,0.7701193685021178,0.0
