metric,hero_n,rest_n,hero_mean,rest_mean,hero_median,rest_median,MWU_U,MWU_p,fold_change_mean
pI_mean,6,105,7.0827615725194475,7.0863626078110995,7.229311575294355,7.12120530757015,316.0,0.9949287429821743,0.999491835869691
pI_median,6,105,6.657521788279214,6.424074223836263,6.927360153198242,6.340298652648925,426.0,0.15305339752430128,1.03633948742011
pI_acidic_frac,6,105,0.10322585573181746,0.10077581098497931,0.09592334344183769,0.1018472291562656,300.0,0.8537239642411779,1.0243118335927193
pI_basic_frac,6,105,0.2269953418725853,0.24015712612851547,0.23856332272487857,0.24329741919318468,258.0,0.47078209012337097,0.9451951125993784
pI_skew_acidic_over_basic,6,105,0.4770570593846169,0.45177238359627436,0.39471818904178857,0.44431418522860494,335.0,0.8041376617926551,1.0559677322174215
Mrp_count,6,105,0.3333333333333333,0.02857142857142857,0.0,0.0,411.0,0.0005268076177957568,11.666666666666666
Nha_count,6,105,2.5,2.1904761904761907,3.0,2.0,363.0,0.5288581087144598,1.141304347826087
antiporter_total,6,105,3.1666666666666665,2.8190476190476192,3.5,3.0,363.5,0.5245547880293344,1.1233108108108107
